open♥high♥close♥low
23.53♥25.88♥24.16♥23.53
22.8♥23.78♥23.53♥22.8
22.88♥23.37♥22.82♥22.71
22.25♥22.76♥22.28♥22.02
21.49♥21.99♥21.92♥21.48
21.4♥21.9♥21.48♥21.31
20.7♥21.4♥21.19♥20.63
21.2♥21.46♥20.36♥20.19
21.79♥22.09♥21.88♥21.75
22.69♥23.11♥21.8♥21.29
